matchID,seriesID,Versus,Game_number,gametime,first_blood_time,isLastGame,playerID,playerName,teamID,teamName,position,heroID,heroName,is_crimson,is_cerulean,is_emerald,is_royal,is_golden,is_elemental,is_otherworld,is_heroic,kills,deaths,creep_score,gpm,madstone_collected,tower_kills,obs_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,teamfight_participation,stuns,firstblood_claimed,roshan_kills,tormentor_kills,tormentor_deaths,courier_kills,win,date
8955197224,single_8955197224,Team Spirit vs Iron Wing,1,3744,5,1,847565596,rue,7119388,Team Spirit,support,100,Tusk,0,0,0,0,0,1,0,0,1,12,72,346,1,0,17,0,5,18,4,0.51111114,40.63284,0,0,0,0,1,1,20/08/2026
8955197224,single_8955197224,Team Spirit vs Iron Wing,1,3744,5,1,321580662,Yatoro,7119388,Team Spirit,core,80,Lone Druid,0,0,0,0,1,0,0,0,18,0,1061,1031,25,10,0,5,7,0,0,0.6,82.134186,1,1,1,0,2,1,20/08/2026
8955197224,single_8955197224,Team Spirit vs Iron Wing,1,3744,5,1,106305042,Larl,7119388,Team Spirit,mid,120,Pangolier,1,0,0,0,0,0,0,0,11,3,558,651,19,0,1,1,16,7,0,0.5555556,68.76581,0,2,0,0,0,1,20/08/2026
8955197224,single_8955197224,Team Spirit vs Iron Wing,1,3744,5,1,218231587,not_me,7119388,Team Spirit,support,21,Windranger,0,0,1,0,0,0,0,1,3,9,91,365,1,0,10,5,3,4,7,0.75555557,63.132977,0,0,0,0,0,1,20/08/2026
8955197224,single_8955197224,Team Spirit vs Iron Wing,1,3744,5,1,302214028,Collapse,7119388,Team Spirit,core,85,Undying,0,0,1,0,0,0,1,0,12,10,517,660,10,0,0,2,6,1,0,0.51111114,1.6,0,0,0,0,0,1,20/08/2026
8955197224,single_8955197224,Team Spirit vs Iron Wing,1,3744,5,1,86698277,33,10150413,Iron Wing,core,69,Doom,1,0,0,0,0,1,1,0,8,9,545,757,19,0,0,3,3,2,0,0.6764706,34.531414,0,0,0,0,0,0,20/08/2026
8955197224,single_8955197224,Team Spirit vs Iron Wing,1,3744,5,1,346412363,Ari,10150413,Iron Wing,support,123,Hoodwink,0,0,1,0,0,0,0,0,7,8,198,393,4,0,5,6,3,7,3,0.7647059,109.733,0,0,0,0,1,0,20/08/2026
8955197224,single_8955197224,Team Spirit vs Iron Wing,1,3744,5,1,136829091,Whitemon,10150413,Iron Wing,support,131,Ringmaster,1,0,0,0,1,0,0,0,5,13,35,352,1,0,22,2,3,14,6,0.7058824,32.799755,0,1,0,0,0,0,20/08/2026
8955197224,single_8955197224,Team Spirit vs Iron Wing,1,3744,5,1,93618577,bzm,10150413,Iron Wing,mid,74,Invoker,0,0,0,0,0,1,0,1,11,4,876,840,13,1,2,8,8,4,0,0.7058824,136.20908,0,0,0,0,1,0,20/08/2026
8955197224,single_8955197224,Team Spirit vs Iron Wing,1,3744,5,1,331855530,Pure,10150413,Iron Wing,core,145,Kez,0,1,0,0,0,0,0,0,3,11,697,653,20,1,0,4,8,5,0,0.61764705,20.466423,0,1,1,0,0,0,20/08/2026
8955247801,1132142,Iron Wing vs Team Spirit,1,2646,98,0,86698277,33,10150413,Iron Wing,core,69,Doom,1,0,0,0,0,1,1,0,2,7,311,561,19,1,0,2,2,2,0,0.5,15.733182,0,0,0,0,0,0,20/08/2026
8955247801,1132142,Iron Wing vs Team Spirit,1,2646,98,0,346412363,Ari,10150413,Iron Wing,support,123,Hoodwink,0,0,1,0,0,0,0,0,1,12,74,237,3,0,5,6,2,7,4,0.5,43.366398,0,0,0,0,0,0,20/08/2026
8955247801,1132142,Iron Wing vs Team Spirit,1,2646,98,0,136829091,Whitemon,10150413,Iron Wing,support,85,Undying,0,0,1,0,0,0,1,0,5,9,98,372,0,0,14,4,2,8,3,0.7222222,0,1,0,0,0,0,0,20/08/2026
8955247801,1132142,Iron Wing vs Team Spirit,1,2646,98,0,93618577,bzm,10150413,Iron Wing,mid,106,Ember Spirit,1,0,0,0,0,1,1,0,5,7,376,485,14,0,2,1,8,2,0,0.6111111,45.966152,0,0,0,0,0,0,20/08/2026
8955247801,1132142,Iron Wing vs Team Spirit,1,2646,98,0,331855530,Pure,10150413,Iron Wing,core,54,Lifestealer,0,0,0,0,0,0,1,0,4,5,553,631,25,1,0,8,3,2,0,0.6666667,4.033203,0,1,0,0,0,0,20/08/2026
8955247801,1132142,Iron Wing vs Team Spirit,1,2646,98,0,847565596,rue,7119388,Team Spirit,support,51,Clockwerk,1,0,0,0,0,0,0,1,2,6,26,348,0,0,8,3,4,9,4,0.875,85.39672,0,0,0,0,0,1,20/08/2026
8955247801,1132142,Iron Wing vs Team Spirit,1,2646,98,0,321580662,Yatoro,7119388,Team Spirit,core,11,Shadow Fiend,1,0,0,0,0,0,1,0,17,2,596,883,23,6,1,3,7,3,0,0.75,0,0,1,0,0,0,1,20/08/2026
8955247801,1132142,Iron Wing vs Team Spirit,1,2646,98,0,106305042,Larl,7119388,Team Spirit,mid,25,Lina,1,0,0,0,0,1,0,0,10,0,485,719,13,3,0,1,11,3,0,0.6,50.867657,0,1,0,0,1,1,20/08/2026
8955247801,1132142,Iron Wing vs Team Spirit,1,2646,98,0,218231587,not_me,7119388,Team Spirit,support,119,Dark Willow,0,0,1,1,0,0,0,0,4,5,43,325,0,0,10,4,5,6,3,0.55,166.09949,0,0,1,0,0,1,20/08/2026
8955247801,1132142,Iron Wing vs Team Spirit,1,2646,98,0,302214028,Collapse,7119388,Team Spirit,core,108,Underlord,0,0,1,0,0,0,1,0,5,5,412,627,19,0,2,6,2,3,0,0.6,96.665955,0,0,0,0,0,1,20/08/2026
8955304019,1132161,BoomBoys vs TEAM VISION,1,4647,235,0,172099728,Kiritych~,8255888,BoomBoys,core,145,Kez,0,1,0,0,0,0,0,0,7,7,1133,877,19,2,0,2,4,4,0,0.48387095,16.76914,0,1,0,0,0,0,20/08/2026
8955304019,1132161,BoomBoys vs TEAM VISION,1,4647,235,0,480412663,gpk~,8255888,BoomBoys,mid,25,Lina,1,0,0,0,0,1,0,0,12,3,1117,845,33,2,2,2,12,2,0,0.61290324,71.93715,0,3,1,0,1,0,20/08/2026
